batch_size,phase,category,kernel_name,launches,residency_ms
10,useful,attention_mla,set_mla_kv_buffer_kernel,624,0.774079
10,useful,moe_routing,"void count_and_sort_expert_tokens_kernel<int>(const T1 *, int *, int *, unsigned long)",600,0.738561
10,useful,other,triton_poi_fused_add_sigmoid_unsqueeze_0,600,0.713856
10,useful,memory_elementwise,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::FillFunctor<c10::BFloat16>, std::array<char *, (unsigned long)1>>(int, T2, T3)",624,0.707007
10,useful,memory_elementwise,triton_poi_fused__to_copy_arange_bitwise_not_eq_expand_masked_fill_scalar_tensor_unsqueeze_view_where_2,600,0.626238
10,useful,other,triton_poi_fused_sum_1,600,0.561504
10,useful,attention_projection,nvjet_sm90_tst_192x16_64x8_4x1_v_bz_TNT,8,0.534433
10,useful,other,"void <unnamed>::fast_hadamard_transform_kernel<<unnamed>::FastHadamardKernelTraits<(int)16, (int)7, __nv_bfloat16>>(HadamardParamsBase)",336,0.455136
10,useful,norm_rope_quant,_act_quant_kernel,168,0.299712
10,useful,memory_elementwise,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)0, float, float, float, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)",168,0.298336
10,useful,attention_mla,kernel_cutlass_kernel_flashinfernormkernelslayernormLayerNormKernel_object_at__tensorptrbf16gmemalign16o128div41_tensorptrbf16gmemalign16o128div41_tensorptrf32gmemalign16o1281_tensorptrf3_0,168,0.234208
10,useful,nccl_sync,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),8,0.22352
10,useful,attention_indexer,"void <unnamed>::fused_store_indexer_cache<__nv_bfloat16, long, (unsigned int)6, (bool)1>(<unnamed>::FusedStoreCacheParam)",168,0.21712
10,useful,other,triton_poi_fused_mul_0,168,0.165152
10,useful,other,triton_poi_fused_mul_unsqueeze_0,168,0.164799
