elapsed_seconds,client_in_flight,client_visible_post_ttft_streams_open
128.629376699,100,59
128.629525884,100,60
128.673322440,100,61
128.834000245,100,62
129.074417700,99,61
129.074507333,100,61
129.594329039,99,60
129.594456143,100,60
129.638791455,99,59
129.638960032,100,59
129.809638354,100,60
130.281344082,100,61
130.504075784,100,62
130.543759960,99,61
130.543824504,100,61
130.641191411,100,62
130.685161185,100,63
130.708233407,99,62
130.708417440,100,62
130.786230133,100,63
130.786890394,99,62
130.786947354,100,62
131.073487205,100,63
131.280677681,100,64
131.443564397,100,65
131.488029950,100,66
131.611492652,100,67
131.665523774,100,68
132.212903172,100,69
132.213721034,99,68
132.213800107,100,68
132.553745188,99,67
132.553937669,100,67
132.577435686,100,68
132.577453510,100,69
132.907432123,100,70
132.929765876,99,69
132.930090614,100,69
133.056698618,100,70
133.070319223,99,69
133.070396568,100,69
133.247843704,100,70
133.397794939,100,71
133.500950910,99,70
133.501100031,100,70
133.506737990,99,69
133.506797414,100,69
133.584227192,100,70
133.622575423,99,69
133.622626752,100,69
133.683493409,100,70
133.728924472,100,71
133.894216004,100,72
133.999123635,99,71
133.999186356,100,71
134.071481475,100,72
134.125425141,99,71
134.125771319,100,71
134.186451063,100,72
134.408092261,100,73
134.451913650,99,72
134.451975698,100,72
134.452482966,99,71
134.457392343,100,71
134.572562668,99,70
134.572644781,100,70
134.632188709,100,71
134.678288065,100,72
134.678393153,100,73
134.743354655,100,74
134.785073244,99,73
134.785134397,100,73
134.844837398,100,74
134.990878526,99,73
134.990942463,100,73
135.514900517,99,72
135.515032582,100,72
135.527930558,99,71
135.527998431,100,71
135.604149480,99,70
135.604207209,100,70
135.644844991,99,69
135.644950080,100,69
135.645911847,99,68
135.646093928,100,68
135.789779872,99,67
135.790320996,100,67
135.930127714,100,68
136.134354553,100,69
136.134444538,100,70
136.134461722,100,71
136.503332633,100,72
136.669276554,100,73
136.834919225,100,74
136.835346108,100,75
136.943454785,99,74
136.943543682,100,74
137.030851416,99,73
137.030924472,100,73
137.122990479,100,74
137.354177791,99,73
137.354336192,100,73
137.455069139,100,74
137.561725261,99,73
137.562053296,100,73
137.602796295,99,72
137.602931720,100,72
137.762857935,99,71
137.763180914,100,71
137.806853853,99,70
137.806985630,100,70
138.005776784,100,71
138.008595267,99,70
138.008716036,100,70
138.020860663,100,71
138.020876887,99,70
138.021379675,100,70
138.231412890,100,71
138.417594838,99,70
138.417675478,100,70
138.496376529,99,69
138.496444946,100,69
138.557264531,100,70
138.769083998,100,71
138.769117790,100,72
138.769260127,100,73
138.793176611,99,72
138.793249219,100,72
138.834801280,99,71
138.834926145,100,71
139.072515325,100,72
139.075294608,99,71
139.075483089,100,71
139.078714119,99,70
139.078800584,100,70
139.199222657,99,69
139.199512739,100,69
139.313001421,100,70
139.356787161,99,69
139.356960154,100,69
139.637208250,100,70
139.640117582,99,69
139.640290863,100,69
139.664243731,99,68
139.664566326,100,68
139.806621987,100,69
139.809334677,99,68
139.809491415,100,68
140.037566705,100,69
140.092578314,100,70
140.145213939,100,71
140.148098471,99,70
140.148224103,100,70
140.149554353,99,69
140.149614929,100,69
140.310504575,99,68
140.310988227,100,68
140.532250383,100,69
140.577506885,100,70
140.683740061,99,69
140.683811261,100,69
140.721809570,100,70
140.722939945,99,69
140.722994730,100,69
140.744431837,100,70
140.771175540,99,69
140.771249556,100,69
140.831081870,100,70
141.186763955,99,69
141.186904276,100,69
141.302539469,100,70
141.305657602,99,69
141.305920708,100,69
141.547637724,99,68
141.548139903,100,68
141.608781247,100,69
141.754990217,99,68
141.755051337,100,68
141.992030017,100,69
142.039264868,99,68
142.039340901,100,68
142.084001463,99,67
142.084394074,100,67
142.367600654,100,68
142.368033073,99,67
142.368098258,100,67
142.430672318,100,68
142.574789082,100,69
142.576347620,99,68
142.576563974,100,68
143.310414730,99,67
143.310603467,100,67
143.318337280,99,66
143.318422369,100,66
143.514522337,99,65
143.514583137,100,65
144.076516619,99,64
144.076996911,100,64
144.108602983,99,63
144.108693512,100,63
144.111684828,99,62
144.112318657,100,62
144.114240846,99,61
144.114573744,100,61
144.746642715,99,60
144.747302271,100,60
144.786985359,99,59
144.787278193,100,59
145.820475065,99,58
145.820679194,100,58
146.617510670,99,57
146.618293075,100,57
146.629260542,99,56
146.629442559,100,56
146.715168011,99,55
146.715299980,100,55
147.190904934,99,54
147.191012423,100,54
147.744994907,100,55
147.745321565,99,54
147.745423038,100,54
147.984558628,99,53
147.984724357,100,53
148.240310333,99,52
148.240613503,100,52
148.320135136,100,53
148.827387539,100,54
148.973868063,100,55
149.020037211,100,56
149.020233117,100,57
149.020402590,100,58
149.020514718,100,59
149.191207632,100,60
149.214987763,99,59
149.215505590,100,59
149.350668565,100,60
149.350739157,100,61
149.495240051,99,60
149.495412628,100,60
149.557230972,100,61
149.557336733,100,62
149.557546334,100,63
149.557576574,100,64
149.741614187,99,63
149.741736204,100,63
149.764179782,100,64
149.908824357,99,63
149.909229352,100,63
150.103686812,100,64
150.103814557,100,65
150.103937566,100,66
150.165553444,100,67
150.171629166,99,66
150.171862223,100,66
150.635610393,100,67
150.819636934,99,66
150.819811943,100,66
151.024840612,99,65
151.024939076,100,65
151.388572288,99,64
151.388639392,100,64
151.409471823,100,65
151.409993235,100,66
151.644979645,99,65
151.645282111,100,65
151.661989681,100,66
151.734907301,100,67
151.771237182,99,66
151.771299166,100,66
151.809160610,99,65
151.809541476,100,65
151.932780593,100,66
151.976356635,99,65
151.976430492,100,65
152.118055814,100,66
152.143546581,99,65
152.143751030,100,65
152.268195115,99,64
152.268319180,100,64
152.307869275,99,63
152.307929595,100,63
152.318790917,99,62
152.318990983,100,62
152.331445948,100,63
152.354415738,99,62
152.354682523,100,62
152.437743541,99,61
152.437930646,100,61
152.685296277,100,62
152.687660773,99,61
152.687715493,100,61
152.692197220,99,60
152.692352421,100,60
152.729048128,99,59
152.729118465,100,59
152.811441269,99,58
152.811516694,100,58
153.655707822,99,57
153.655866863,100,57
153.801033457,100,58
153.865041608,100,59
153.865639724,99,58
153.865714605,100,58
153.986158854,99,57
153.986286791,100,57
154.249233008,100,58
154.513121184,99,57
154.513634756,100,57
154.656654904,100,58
154.679976632,99,57
154.680185433,100,57
154.719812969,99,56
154.720031594,100,56
155.069841063,99,55
155.069900423,100,55
155.184795803,100,56
155.230535540,100,57
155.230632405,100,58
155.230753302,100,59
155.396415525,100,60
155.966068804,100,61
156.232425509,99,60
156.232893640,100,60
156.254042105,100,61
156.254096985,100,62
156.254136506,100,63
156.254170554,100,64
156.461314917,100,65
156.525645534,99,64
156.525712830,100,64
156.790403156,100,65
156.856746235,99,64
156.856809883,100,64
156.957656174,100,65
156.957823311,100,66
157.004423374,100,67
157.004593328,100,68
157.077284962,100,69
157.109526366,99,68
157.109598079,100,68
157.171848522,100,69
157.521491333,99,68
157.521791399,100,68
157.666334438,100,69
157.666396486,100,70
157.834828200,100,71
157.940503644,100,72
157.942114791,99,71
157.942196008,100,71
157.945220700,99,70
157.945290237,100,70
158.561500283,100,71
158.572909833,99,70
158.572995530,100,70
158.626320119,99,69
158.626409816,100,69
158.697141596,100,70
158.746860305,99,69
158.746974130,100,69
158.758482817,100,70
158.765394128,100,71
158.788378958,99,70
158.788441006,100,70
158.808725433,100,71
158.852602886,99,70
158.852652422,100,70
158.911596890,100,71
158.958076312,100,72
158.958112985,100,73
158.983083844,99,72
158.983141380,100,72
159.019975200,100,73
159.054233163,100,74
159.151684391,100,75
159.951811665,100,76
159.976952733,99,75
159.977049566,100,75
160.119870161,100,76
160.266456317,99,75
160.266700287,100,75
160.388962564,99,74
160.389030245,100,74
160.451669714,100,75
160.516292653,100,76
